OrderDate,ProductKey,Country,EnglishProductName,SalesAmount,UnitPrice,OrderQuantity,TaxAmt,TotalProductCost
01/01/2016,336,Italy,"Road-650 Black, 62",699.0982,699.0982,1,55.9279,413.1463
01/01/2016,222,United States,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
01/01/2016,540,Canada,HL Road Tire,32.6,32.6,1,2.608,12.1924
01/01/2016,536,Italy,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
01/01/2016,490,Germany,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
01/01/2016,225,Canada,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
01/01/2016,390,United States,"Road-550-W Yellow, 48",1120.49,1120.49,1,89.6392,713.0798
01/01/2016,479,India,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
01/01/2016,463,United States,"Half-Finger Gloves, S",24.49,24.49,1,1.9592,9.1593
01/01/2016,477,India,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
01/01/2016,540,United States,HL Road Tire,32.6,32.6,1,2.608,12.1924
01/01/2016,214,Canada,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
01/01/2016,528,Italy,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
01/01/2016,225,Canada,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
01/01/2016,372,Canada,"Road-250 Red, 58",2443.35,2443.35,1,195.468,1554.9479
01/01/2016,480,Italy,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
01/01/2016,477,Canada,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
01/01/2016,490,India,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
01/01/2016,472,India,"Classic Vest, M",63.5,63.5,1,5.08,23.749
01/01/2016,540,India,HL Road Tire,32.6,32.6,1,2.608,12.1924
01/01/2016,214,United States,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
01/01/2016,589,Australia,"Mountain-400-W Silver, 42",769.49,769.49,1,61.5592,419.7784
01/01/2016,480,Canada,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
01/01/2016,463,Italy,"Half-Finger Gloves, S",24.49,24.49,1,1.9592,9.1593
01/01/2016,231,Canada,"Long-Sleeve Logo Jersey, M",49.99,49.99,1,3.9992,38.4923
01/01/2016,478,France,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
01/01/2016,465,Australia,"Half-Finger Gloves, M",24.49,24.49,1,1.9592,9.1593
01/01/2016,480,Canada,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
01/01/2016,535,Canada,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
02/01/2016,491,Italy,"Short-Sleeve Classic Jersey, XL",53.99,53.99,1,4.3192,41.5723
02/01/2016,217,Canada,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
02/01/2016,480,Germany,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
02/01/2016,478,Germany,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
02/01/2016,539,India,ML Road Tire,24.99,24.99,1,1.9992,9.3463
02/01/2016,528,France,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
02/01/2016,605,France,"Road-750 Black, 48",539.99,539.99,1,43.1992,343.6496
02/01/2016,529,France,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
02/01/2016,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
02/01/2016,485,Canada,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
02/01/2016,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
02/01/2016,490,Australia,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
02/01/2016,479,United States,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
02/01/2016,530,India,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
02/01/2016,473,Italy,"Classic Vest, L",63.5,63.5,1,5.08,23.749
02/01/2016,529,India,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
02/01/2016,475,Germany,"Women's Mountain Shorts, M",69.99,69.99,1,5.5992,26.1763
02/01/2016,363,France,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
02/01/2016,482,Australia,"Racing Socks, L",8.99,8.99,1,0.7192,3.3623
02/01/2016,214,France,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
02/01/2016,528,Australia,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
02/01/2016,361,India,"Mountain-200 Black, 42",2294.99,2294.99,1,183.5992,1251.9813
02/01/2016,536,India,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
02/01/2016,478,Canada,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
02/01/2016,536,France,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
02/01/2016,530,United States,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
02/01/2016,485,Germany,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
02/01/2016,585,India,"Touring-3000 Blue, 44",742.35,742.35,1,59.388,461.4448
02/01/2016,561,Australia,"Touring-1000 Yellow, 46",2384.07,2384.07,1,190.7256,1481.9379
02/01/2016,217,Germany,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
02/01/2016,575,Italy,"Touring-1000 Blue, 54",2384.07,2384.07,1,190.7256,1481.9379
02/01/2016,488,Canada,"Short-Sleeve Classic Jersey, S",53.99,53.99,1,4.3192,41.5723
02/01/2016,478,Germany,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
02/01/2016,606,Germany,"Road-750 Black, 52",539.99,539.99,1,43.1992,343.6496
02/01/2016,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
02/01/2016,485,Australia,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
03/01/2016,310,Germany,"Road-150 Red, 62",3578.27,3578.27,1,286.2616,2171.2942
03/01/2016,313,United States,"Road-150 Red, 52",3578.27,3578.27,1,286.2616,2171.2942
03/01/2016,333,India,"Road-650 Black, 58",782.99,782.99,1,62.6392,486.7066
03/01/2016,580,France,"Road-350-W Yellow, 40",1700.99,1700.99,1,136.0792,1082.51
03/01/2016,363,Australia,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
03/01/2016,490,India,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
03/01/2016,237,United States,"Long-Sleeve Logo Jersey, XL",49.99,49.99,1,3.9992,38.4923
03/01/2016,477,Canada,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
03/01/2016,485,United States,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
03/01/2016,537,France,HL Mountain Tire,35,35,1,2.8,13.09
03/01/2016,234,Germany,"Long-Sleeve Logo Jersey, L",49.99,49.99,1,3.9992,38.4923
03/01/2016,480,France,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
03/01/2016,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
03/01/2016,536,United States,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
03/01/2016,528,Canada,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
03/01/2016,537,Canada,HL Mountain Tire,35,35,1,2.8,13.09
03/01/2016,225,Australia,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
03/01/2016,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
03/01/2016,528,India,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
03/01/2016,222,France,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
03/01/2016,477,Italy,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
03/01/2016,535,Australia,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
03/01/2016,463,Australia,"Half-Finger Gloves, S",24.49,24.49,1,1.9592,9.1593
03/01/2016,536,Australia,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
03/01/2016,480,France,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
03/01/2016,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
03/01/2016,592,Australia,"Mountain-500 Silver, 42",564.99,564.99,1,45.1992,308.2179
03/01/2016,217,Canada,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
03/01/2016,483,Italy,Hitch Rack - 4-Bike,120,120,1,9.6,44.88
03/01/2016,222,France,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
03/01/2016,485,Australia,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
03/01/2016,530,France,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
03/01/2016,480,Germany,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
03/01/2016,231,Australia,"Long-Sleeve Logo Jersey, M",49.99,49.99,1,3.9992,38.4923
04/01/2016,310,India,"Road-150 Red, 62",3578.27,3578.27,1,286.2616,2171.2942
04/01/2016,351,Canada,"Mountain-100 Black, 48",3374.99,3374.99,1,269.9992,1898.0944
04/01/2016,334,Germany,"Road-650 Black, 60",699.0982,699.0982,1,55.9279,413.1463
04/01/2016,214,France,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
04/01/2016,560,France,"Touring-2000 Blue, 60",1214.85,1214.85,1,97.188,755.1508
04/01/2016,528,Italy,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
04/01/2016,225,Italy,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
04/01/2016,225,United States,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
04/01/2016,491,Italy,"Short-Sleeve Classic Jersey, XL",53.99,53.99,1,4.3192,41.5723
04/01/2016,487,Canada,Hydration Pack - 70 oz.,54.99,54.99,1,4.3992,20.5663
04/01/2016,474,Italy,"Women's Mountain Shorts, S",69.99,69.99,1,5.5992,26.1763
04/01/2016,529,India,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
04/01/2016,485,Canada,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
04/01/2016,477,Canada,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
04/01/2016,485,Germany,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
04/01/2016,479,India,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
04/01/2016,536,India,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
04/01/2016,477,Australia,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
04/01/2016,528,France,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
04/01/2016,536,India,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
04/01/2016,363,India,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
04/01/2016,485,United States,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
04/01/2016,584,Italy,"Road-750 Black, 58",539.99,539.99,1,43.1992,343.6496
04/01/2016,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
04/01/2016,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
04/01/2016,478,Italy,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
04/01/2016,485,France,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
04/01/2016,592,France,"Mountain-500 Silver, 42",564.99,564.99,1,45.1992,308.2179
04/01/2016,541,Australia,Touring Tire,28.99,28.99,1,2.3192,10.8423
05/01/2016,313,France,"Road-150 Red, 52",3578.27,3578.27,1,286.2616,2171.2942
05/01/2016,314,Australia,"Road-150 Red, 56",3578.27,3578.27,1,286.2616,2171.2942
05/01/2016,370,France,"Road-250 Red, 52",2443.35,2443.35,1,195.468,1518.7864
05/01/2016,231,Germany,"Long-Sleeve Logo Jersey, M",49.99,49.99,1,3.9992,38.4923
05/01/2016,528,India,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
05/01/2016,537,Australia,HL Mountain Tire,35,35,1,2.8,13.09
05/01/2016,486,India,All-Purpose Bike Stand,159,159,1,12.72,59.466
05/01/2016,225,India,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
05/01/2016,480,India,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
05/01/2016,530,Canada,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
05/01/2016,530,Canada,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
05/01/2016,588,Australia,"Mountain-400-W Silver, 40",769.49,769.49,1,61.5592,419.7784
05/01/2016,529,India,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
05/01/2016,363,France,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
05/01/2016,225,India,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
05/01/2016,530,France,Touring Tire Tube,4.99,4.99,1,0.3992,1.8663
05/01/2016,353,India,"Mountain-200 Silver, 38",2319.99,2319.99,1,185.5992,1265.6195
05/01/2016,217,France,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
05/01/2016,359,Australia,"Mountain-200 Black, 38",2294.99,2294.99,1,183.5992,1251.9813
05/01/2016,490,United States,"Short-Sleeve Classic Jersey, L",53.99,53.99,1,4.3192,41.5723
05/01/2016,214,United States,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
05/01/2016,529,Italy,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
05/01/2016,477,India,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
05/01/2016,528,Germany,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
05/01/2016,487,United States,Hydration Pack - 70 oz.,54.99,54.99,1,4.3992,20.5663
05/01/2016,353,Germany,"Mountain-200 Silver, 38",2319.99,2319.99,1,185.5992,1265.6195
05/01/2016,541,India,Touring Tire,28.99,28.99,1,2.3192,10.8423
06/01/2016,312,Canada,"Road-150 Red, 48",3578.27,3578.27,1,286.2616,2171.2942
06/01/2016,328,Australia,"Road-650 Red, 48",699.0982,699.0982,1,55.9279,413.1463
06/01/2016,369,Germany,"Road-250 Red, 48",2443.35,2443.35,1,195.468,1518.7864
06/01/2016,222,Australia,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
06/01/2016,528,France,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
06/01/2016,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
06/01/2016,528,Canada,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
06/01/2016,214,Germany,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
06/01/2016,214,Australia,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
06/01/2016,535,Italy,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
06/01/2016,222,India,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
06/01/2016,535,Canada,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
06/01/2016,536,India,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
06/01/2016,214,Italy,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
06/01/2016,225,Italy,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
06/01/2016,535,Italy,LL Mountain Tire,24.99,24.99,1,1.9992,9.3463
06/01/2016,529,India,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
06/01/2016,485,Italy,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
06/01/2016,485,India,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
06/01/2016,541,India,Touring Tire,28.99,28.99,1,2.3192,10.8423
06/01/2016,580,Italy,"Road-350-W Yellow, 40",1700.99,1700.99,1,136.0792,1082.51
06/01/2016,214,Canada,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
06/01/2016,529,France,Road Tire Tube,3.99,3.99,1,0.3192,1.4923
06/01/2016,481,Germany,"Racing Socks, M",8.99,8.99,1,0.7192,3.3623
06/01/2016,484,Italy,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
06/01/2016,491,Italy,"Short-Sleeve Classic Jersey, XL",53.99,53.99,1,4.3192,41.5723
06/01/2016,472,Australia,"Classic Vest, M",63.5,63.5,1,5.08,23.749
06/01/2016,474,United States,"Women's Mountain Shorts, S",69.99,69.99,1,5.5992,26.1763
06/01/2016,536,Australia,ML Mountain Tire,29.99,29.99,1,2.3992,11.2163
06/01/2016,477,Germany,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
07/01/2016,314,Germany,"Road-150 Red, 56",3578.27,3578.27,1,286.2616,2171.2942
07/01/2016,377,Canada,"Road-250 Black, 52",2181.5625,2181.5625,1,174.525,1320.6838
07/01/2016,368,Italy,"Road-250 Red, 44",2443.35,2443.35,1,195.468,1518.7864
07/01/2016,467,Germany,"Half-Finger Gloves, L",24.49,24.49,1,1.9592,9.1593
07/01/2016,222,France,"Sport-100 Helmet, Blue",34.99,34.99,1,2.7992,13.0863
07/01/2016,217,France,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
07/01/2016,225,India,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
07/01/2016,480,Germany,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
07/01/2016,585,France,"Touring-3000 Blue, 44",742.35,742.35,1,59.388,461.4448
07/01/2016,605,Italy,"Road-750 Black, 48",539.99,539.99,1,43.1992,343.6496
07/01/2016,217,United States,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
07/01/2016,480,India,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
07/01/2016,540,Italy,HL Road Tire,32.6,32.6,1,2.608,12.1924
07/01/2016,486,Canada,All-Purpose Bike Stand,159,159,1,12.72,59.466
07/01/2016,237,United States,"Long-Sleeve Logo Jersey, XL",49.99,49.99,1,3.9992,38.4923
07/01/2016,479,India,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
07/01/2016,214,United States,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
07/01/2016,477,United States,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
07/01/2016,214,Canada,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
07/01/2016,593,Germany,"Mountain-500 Silver, 44",564.99,564.99,1,45.1992,308.2179
07/01/2016,478,Italy,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
07/01/2016,528,France,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
07/01/2016,480,France,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
07/01/2016,363,Canada,"Mountain-200 Black, 46",2294.99,2294.99,1,183.5992,1251.9813
07/01/2016,537,Italy,HL Mountain Tire,35,35,1,2.8,13.09
07/01/2016,478,Australia,Mountain Bottle Cage,9.99,9.99,1,0.7992,3.7363
07/01/2016,355,France,"Mountain-200 Silver, 42",2319.99,2319.99,1,185.5992,1265.6195
07/01/2016,485,United States,Fender Set - Mountain,21.98,21.98,1,1.7584,8.2205
07/01/2016,382,India,"Road-550-W Yellow, 38",1120.49,1120.49,1,89.6392,713.0798
07/01/2016,581,Australia,"Road-350-W Yellow, 42",1700.99,1700.99,1,136.0792,1082.51
08/01/2016,337,Germany,"Road-650 Black, 62",782.99,782.99,1,62.6392,486.7066
08/01/2016,234,Italy,"Long-Sleeve Logo Jersey, L",49.99,49.99,1,3.9992,38.4923
08/01/2016,214,India,"Sport-100 Helmet, Red",34.99,34.99,1,2.7992,13.0863
08/01/2016,486,Australia,All-Purpose Bike Stand,159,159,1,12.72,59.466
08/01/2016,217,United States,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
08/01/2016,484,Germany,Bike Wash - Dissolver,7.95,7.95,1,0.636,2.9733
08/01/2016,540,United States,HL Road Tire,32.6,32.6,1,2.608,12.1924
08/01/2016,477,Italy,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
08/01/2016,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
08/01/2016,574,India,"Touring-1000 Blue, 50",2384.07,2384.07,1,190.7256,1481.9379
08/01/2016,539,France,ML Road Tire,24.99,24.99,1,1.9992,9.3463
08/01/2016,361,Australia,"Mountain-200 Black, 42",2294.99,2294.99,1,183.5992,1251.9813
08/01/2016,479,United States,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
08/01/2016,604,Australia,"Road-750 Black, 44",539.99,539.99,1,43.1992,343.6496
08/01/2016,477,Germany,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
08/01/2016,477,Germany,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
08/01/2016,217,Australia,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
08/01/2016,480,France,Patch Kit/8 Patches,2.29,2.29,1,0.1832,0.8565
08/01/2016,540,Germany,HL Road Tire,32.6,32.6,1,2.608,12.1924
08/01/2016,596,Italy,"Mountain-500 Black, 40",539.99,539.99,1,43.1992,294.5797
08/01/2016,580,France,"Road-350-W Yellow, 40",1700.99,1700.99,1,136.0792,1082.51
08/01/2016,225,France,AWC Logo Cap,8.99,8.99,1,0.7192,6.9223
08/01/2016,539,France,ML Road Tire,24.99,24.99,1,1.9992,9.3463
08/01/2016,528,Canada,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
08/01/2016,217,India,"Sport-100 Helmet, Black",34.99,34.99,1,2.7992,13.0863
08/01/2016,567,United States,"Touring-3000 Blue, 62",742.35,742.35,1,59.388,461.4448
08/01/2016,479,India,Road Bottle Cage,8.99,8.99,1,0.7192,3.3623
08/01/2016,491,United States,"Short-Sleeve Classic Jersey, XL",53.99,53.99,1,4.3192,41.5723
08/01/2016,477,France,Water Bottle - 30 oz.,4.99,4.99,1,0.3992,1.8663
08/01/2016,476,Germany,"Women's Mountain Shorts, L",69.99,69.99,1,5.5992,26.1763
08/01/2016,487,France,Hydration Pack - 70 oz.,54.99,54.99,1,4.3992,20.5663
08/01/2016,567,Germany,"Touring-3000 Blue, 62",742.35,742.35,1,59.388,461.4448
08/01/2016,353,Germany,"Mountain-200 Silver, 38",2319.99,2319.99,1,185.5992,1265.6195
08/01/2016,528,France,Mountain Tire Tube,4.99,4.99,1,0.3992,1.8663
